"Index","Chapter","Thought","D: Original","D: Narrative","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"3.61","3.2","61","They were very acute persons, those sons of Asclepius. Naturally so, I replied. Nevertheless, the tragedians and Pindar disobeying our behests, although they acknowledge that Asclepius was the son of Apollo, say also that he was bribed into healing a rich man who was at the point of death, and for this reason he was struck by lightning. But we, in accordance with the principle already affirmed by us, will not believe them when they tell us both; --if he was the son of a god, we maintain that hd was not avaricious; or, if he was avaricious he was not the son of a god.","""They were very acute persons, those sons of Asclepius.""

""Naturally so,"" I replied. ""Nevertheless, the tragedians and Pindar disobeying our behests, although they acknowledge that Asclepius was the son of Apollo, say also that he was bribed into healing a rich man who was at the point of death, and for this reason he was struck by lightning. But we, in accordance with the principle already affirmed by us, will not believe them when they tell us both; -- if he was the son of a god, we maintain that he was not avaricious; or, if he was avaricious, he was not the son of a god.""","""Those sons of Asclepius were very shrewd.""

""Naturally,"" I replied. ""But the tragedians and Pindar defy our principles. Even though they acknowledge Asclepius was the son of Apollo, they also claim he was bribed into healing a rich man who was dying, and that Zeus struck him with lightning for it.

But according to our established principle, we won't accept both claims at once. If he was the son of a god, then he wasn't greedy. If he was greedy, then he wasn't the son of a god. You can't have it both ways.""","The tragedians and Pindar claim Asclepius was both Apollo's son and a corrupt physician bribed into healing the dying rich. By our principle, these claims are incompatible: a god's son cannot be avaricious, and an avaricious man cannot be a god's son.","Socrates applies the earlier principle (divine parentage and vice are incompatible) to the myth of Asclepius: the tragedians and Pindar cannot simultaneously claim he was Apollo's son and that he was bribed into healing a rich man -- these claims are logically incompatible.","If Asclepius was Apollo's son, he was not greedy; if he was greedy, he was not Apollo's son -- poets cannot maintain both claims.","Speakers: Socrates and Glaucon -- Pindar tells the story of Asclepius's death in Pythian 3.54-58 -- The tragedians who told this story may include Euripides -- Asclepius was struck by Zeus's thunderbolt for raising the dead (specifically Hippolytus, according to some versions) -- The logical disjunction echoes 3.15 (Theseus and Peirithous) -- Apollo then killed the Cyclopes in retaliation for Zeus killing his son -- Cross-reference: Book II (379b-c) on the principle that evil cannot come from the gods; Pindar Pythian 3 for the full myth"
"3.62","3.2","62","All that, Socrates, is excellent; but I should like to put a question to you: Ought there not to be good physicians in a State, and are not the best those who have treated the greatest number of constitutions good and bad? and are not the best judges in like manner those who are acquainted with all sorts of moral natures?

Yes, I said, I too would have good judges and good physicians. But do you know whom I think good?

Will you tell me? I will, if I can. Let me however note that in the same question you join two things which are not the same.","""All that, Socrates, is excellent; but I should like to put a question to you: Ought there not to be good physicians in a State, and are not the best those who have treated the greatest number of constitutions good and bad? and are not the best judges in like manner those who are acquainted with all sorts of moral natures?""

""Yes,"" I said, ""I too would have good judges and good physicians. But do you know whom I think good?""

""Will you tell me?""

""I will, if I can. Let me however note that in the same question you join two things which are not the same.""","""All that is excellent, Socrates. But I have a question: shouldn't a state have good physicians? And aren't the best physicians those who've treated the widest range of constitutions, healthy and unhealthy? And similarly, aren't the best judges those who've dealt with every kind of moral character?""

""Yes,"" I said, ""I want good judges and good physicians too. But do you know who I consider truly good?""

""Tell me.""

""I will, if I can. But first notice that your question conflates two things that aren't the same.""","Glaucon asks whether the best physicians are those with the widest experience of illness, and the best judges those who know every kind of moral character. Socrates agrees in principle but warns that the analogy between physicians and judges is misleading -- the two cases differ fundamentally.","Glaucon asks whether the best physicians and judges are those with the widest experience of their respective domains. Socrates agrees that both are needed but warns that Glaucon's question conflates two fundamentally different cases -- the requirements for good physicians and good judges are not parallel.","The best physicians and the best judges are both needed, but the qualifications for each differ fundamentally despite apparent parallels.","Speakers: Socrates and Glaucon -- Glaucon's question is intelligent: it challenges the idea that physicians and judges should be limited in their experience -- Socrates' response ('two things which are not the same') sets up the distinction developed in 3.63-3.65 -- The physician-judge analogy is important throughout Greek philosophy -- Cross-reference: Gorgias (464b-465d) on the parallel between body and soul arts; Protagoras (313d-314b) on physicians of the soul"
"3.63","3.2","63","How so? he asked. Why, I said, you join physicians and judges. Now the most skilful physicians are those who, from their youth upwards, have combined with the knowledge of their art the greatest experience of disease; they had better not be robust in health, and should have had all manner of diseases in their own persons. For the body, as I conceive, is not the instrument with which they cure the body; in that case we could not allow them ever to be or to have been sickly; but they cure the body with the mind, and the mind which has become and is sick can cure nothing.","""How so?"" he asked.

""Why,"" I said, ""you join physicians and judges. Now the most skilful physicians are those who, from their youth upwards, have combined with the knowledge of their art the greatest experience of disease; they had better not be robust in health, and should have had all manner of diseases in their own persons. For the body, as I conceive, is not the instrument with which they cure the body; in that case we could not allow them ever to be or to have been sickly; but they cure the body with the mind, and the mind which has become and is sick can cure nothing.""","""How so?"" he asked.

""Because the cases of physicians and judges are fundamentally different. The most skilled physicians are those who've combined knowledge of their art with the widest experience of disease from youth onward. It's actually better if they aren't robustly healthy themselves -- they should have experienced all kinds of illness in their own bodies.

This makes sense because physicians don't cure the body with their body. If they did, we could never allow them to be or to have been sick. They cure the body with their mind. And a mind that has become sick is incapable of curing anything.""","The best physicians have personal experience of disease because they cure the body with the mind, not with their own body. A physician's bodily sickness enriches his understanding; but a sick mind cannot cure anything.","Socrates explains that physicians benefit from personal experience of disease because they cure the body with the mind, not with their own body. Having been sick themselves enriches their understanding. But this principle does not extend to judges, because a corrupted mind cannot serve justice.","Physicians cure with the mind, not the body, so personal experience of illness helps them; but a morally corrupted mind cannot serve justice.","Speaker: Socrates -- The principle 'they cure the body with the mind' is crucial: it justifies physicians having personal experience of illness while setting up the contrast with judges -- A sick body can still house a healthy mind, but a morally sick mind cannot judge rightly -- This passage distinguishes between bodily experience (useful for physicians) and moral experience (harmful for judges) -- Cross-reference: Charmides (156d-157a) on treating the soul to cure the body; Phaedo (64c-67b) on the soul's independence from the body"
"3.64","3.2","64","That is very true, he said. But with the judge it is otherwise; since he governs mind by mind; he ought not therefore to have been trained among vicious minds, and to have associated with them from youth upwards, and to have gone through the whole calendar of crime, only in order that he may quickly infer the crimes of others as he might their bodily diseases from his own self-consciousness; the honourable mind which is to form a healthy judgment should have had no experience or contamination of evil habits when young. And this is the reason why in youth good men often appear to be simple, and are easily practised upon by the dishonest, because they have no examples of what evil is in their own souls.

Yes, he said, they are far too apt to be deceived. Therefore, I said, the judge should not be young; he should have learned to know evil, not from his own soul, but from late and long observation of the nature of evil in others: knowledge should be his guide, not personal experience.","""That is very true,"" he said.

""But with the judge it is otherwise; since he governs mind by mind; he ought not therefore to have been trained among vicious minds, and to have associated with them from youth upwards, and to have gone through the whole calendar of crime, only in order that he may quickly infer the crimes of others as he might their bodily diseases from his own self-consciousness; the honourable mind which is to form a healthy judgment should have had no experience or contamination of evil habits when young. And this is the reason why in youth good men often appear to be simple, and are easily practised upon by the dishonest, because they have no examples of what evil is in their own souls.""

""Yes,"" he said, ""they are far too apt to be deceived.""

""Therefore,"" I said, ""the judge should not be young; he should have learned to know evil, not from his own soul, but from late and long observation of the nature of evil in others: knowledge should be his guide, not personal experience.""","""Very true,"" he said.

""But with judges it's different. A judge governs mind by mind. Therefore he should not have been raised among corrupt people, associating with criminals from youth, going through the entire catalog of crimes just so he can quickly diagnose the wrongdoing of others the way a physician diagnoses illness from personal experience.

The honorable mind that is to form sound judgments should have had no experience or contamination of evil habits in youth. This is why good young people often seem naive and are easily deceived by the dishonest -- they have no model of evil within their own souls.""

""Yes,"" he said, ""they are far too easily deceived.""

""Therefore the judge should not be young. He should learn to recognize evil not from his own soul but from long observation of evil in others over time. Knowledge should be his guide, not personal experience.""","A judge governs mind by mind and must therefore not have been contaminated by personal experience of evil. Young good people seem naive because they have no inner model of wickedness. The judge should be old enough to have learned evil through long observation of others, guided by knowledge rather than personal experience.","Socrates explains why judges, unlike physicians, must not learn through personal experience of evil. Since judges govern mind by mind, a corrupted soul cannot judge rightly. Good young people appear naive because they lack inner models of evil. Therefore judges should be mature, having learned about evil through long observation rather than personal moral contamination.","Judges must learn evil through long observation of others, not personal experience, because a mind corrupted by vice cannot govern other minds justly.","Speakers: Socrates and Glaucon -- The physician/judge asymmetry is now clear: physicians need personal experience of bodily illness; judges need observational knowledge of moral evil without personal corruption -- 'Good men appear simple' (euetheis) in youth because they lack inner patterns of vice -- This connects to the theory of moral perception: we recognize in others what we know in ourselves -- The principle that judges should be mature anticipates modern judicial appointment practices -- Cross-reference: Meno (77b-78b) on whether anyone desires evil knowingly; Protagoras (352a-358d) on knowledge vs. experience of vice"
"3.65","3.2","65","Yes, he said, that is the ideal of a judge. Yes, I replied, and he will be a good man (which is my answer to your question); for he is good who has a good soul. But the cunning and suspicious nature of which we spoke, --he who has committed many crimes, and fancies himself to be a master in wickedness, when he is amongst his fellows, is wonderful in the precautions which he takes, because he judges of them by himself: but when he gets into the company of men of virtue, who have the experience of age, he appears to be a fool again, owing to his unseasonable suspicions; he cannot recognise an honest man, because he has no pattern of honesty in himself; at the same time, as the bad are more numerous than the good, and he meets with them oftener, he thinks himself, and is by others thought to be, rather wise than foolish.","""Yes,"" he said, ""that is the ideal of a judge.""

""Yes,"" I replied, ""and he will be a good man (which is my answer to your question); for he is good who has a good soul. But the cunning and suspicious nature of which we spoke, -- he who has committed many crimes, and fancies himself to be a master in wickedness, when he is amongst his fellows, is wonderful in the precautions which he takes, because he judges of them by himself: but when he gets into the company of men of virtue, who have the experience of age, he appears to be a fool again, owing to his unseasonable suspicions; he cannot recognise an honest man, because he has no pattern of honesty in himself; at the same time, as the bad are more numerous than the good, and he meets with them oftener, he thinks himself, and is by others thought to be, rather wise than foolish.""","""Yes, that's the ideal judge,"" he said.

""And he will be a good man -- which answers your original question. A person is good who has a good soul. Now consider the opposite type: the cunning, suspicious person who has committed many crimes and thinks himself a master of wickedness. Among his fellow criminals, he seems brilliant because he judges them by his own nature and takes every precaution.

But put him among virtuous, experienced people, and he looks like a fool. His suspicions are misplaced. He can't recognize an honest person because he has no pattern of honesty within himself. Yet because bad people outnumber good ones and he encounters them more often, he thinks himself wise -- and others think so too.""","The good judge has a good soul. The criminal who fancies himself a master of wickedness is shrewd among criminals but foolish among the virtuous -- he cannot recognize honesty, having no inner pattern for it. Since the bad outnumber the good, he mistakes his cunning for wisdom.","Socrates completes the physician-judge comparison: the good judge is simply a good person with a good soul. The criminal who considers himself a master of wickedness is only clever among fellow criminals; among the virtuous he appears foolish, unable to recognize honesty because he has no internal model for it.","The criminal is clever among criminals but foolish among the virtuous, because we can only recognize in others what we carry within ourselves.","Speakers: Socrates and Glaucon -- 'He judges of them by himself' is the key psychological principle: we use ourselves as the template for understanding others -- The criminal's 'unseasonable suspicions' among the virtuous = projecting his own dishonesty onto honest people -- 'The bad are more numerous than the good' is a pessimistic empirical claim -- The inability to recognize virtue without possessing it connects to the Platonic principle that like knows like -- Cross-reference: Book VI (490a-b) on the philosopher's love of truth; Theaetetus (176a-b) on evil being more common than good in human affairs"
"3.66","3.2","66","Most true, he said. Then the good and wise judge whom we are seeking is not this man, but the other; for vice cannot know virtue too, but a virtuous nature, educated by time, will acquire a knowledge both of virtue and vice: the virtuous, and not the vicious, man has wisdom --in my opinion.

And in mine also. This is the sort of medicine, and this is the sort of law, which you sanction in your State. They will minister to better natures, giving health both of soul and of body; but those who are diseased in their bodies they will leave to die, and the corrupt and incurable souls they will put an end to themselves.

That is clearly the best thing both for the patients and for the State.

And thus our youth, having been educated only in that simple music which, as we said, inspires temperance, will be reluctant to go to law.

Clearly. And the musician, who, keeping to the same track, is content to practise the simple gymnastic, will have nothing to do with medicine unless in some extreme case.

That I quite believe. The very exercises and tolls which he undergoes are intended to stimulate the spirited element of his nature, and not to increase his strength; he will not, like common athletes, use exercise and regimen to develop his muscles.

Very right, he said. Neither are the two arts of music and gymnastic really designed, as is often supposed, the one for the training of the soul, the other fir the training of the body.

What then is the real object of them? I believe, I said, that the teachers of both have in view chiefly the improvement of the soul.

How can that be? he asked. Did you never observe, I said, the effect on the mind itself of exclusive devotion to gymnastic, or the opposite effect of an exclusive devotion to music?

In what way shown? he said. The one producing a temper of hardness and ferocity, the other of softness and effeminacy, I replied.

Yes, he said, I am quite aware that the mere athlete becomes too much of a savage, and that the mere musician is melted and softened beyond what is good for him.","""Most true,"" he said.

""Then the good and wise judge whom we are seeking is not this man, but the other; for vice cannot know virtue too, but a virtuous nature, educated by time, will acquire a knowledge both of virtue and vice: the virtuous, and not the vicious, man has wisdom -- in my opinion.""

""And in mine also.""

""This is the sort of medicine, and this is the sort of law, which you sanction in your State. They will minister to better natures, giving health both of soul and of body; but those who are diseased in their bodies they will leave to die, and the corrupt and incurable souls they will put an end to themselves.""

""That is clearly the best thing both for the patients and for the State.""

""And thus our youth, having been educated only in that simple music which, as we said, inspires temperance, will be reluctant to go to law.""

""Clearly.""

""And the musician, who, keeping to the same track, is content to practise the simple gymnastic, will have nothing to do with medicine unless in some extreme case.""

""That I quite believe.""

""The very exercises and toils which he undergoes are intended to stimulate the spirited element of his nature, and not to increase his strength; he will not, like common athletes, use exercise and regimen to develop his muscles.""

""Very right,"" he said.

""Neither are the two arts of music and gymnastic really designed, as is often supposed, the one for the training of the soul, the other for the training of the body.""

""What then is the real object of them?""

""I believe,"" I said, ""that the teachers of both have in view chiefly the improvement of the soul.""

""How can that be?"" he asked.

""Did you never observe,"" I said, ""the effect on the mind itself of exclusive devotion to gymnastic, or the opposite effect of an exclusive devotion to music?""

""In what way shown?"" he said.

""The one producing a temper of hardness and ferocity, the other of softness and effeminacy,"" I replied.

""Yes,"" he said, ""I am quite aware that the mere athlete becomes too much of a savage, and that the mere musician is melted and softened beyond what is good for him.""","""Most true,"" he said.

""So the good and wise judge we're seeking is not the criminal, but the virtuous man. Vice cannot truly know virtue, but a virtuous nature, educated by time and experience, acquires knowledge of both virtue and vice. Wisdom belongs to the virtuous, not the vicious -- in my opinion.""

""And in mine.""

""This, then, is the kind of medicine and the kind of law our state sanctions. They will serve better natures, providing health of both soul and body. Those whose bodies are hopelessly diseased will be left to die, and the corrupt and incurable souls will be put to death.""

""That is clearly best for both the patients and the state.""

""And our youth, educated in the simple music that inspires temperance, will rarely feel the need for courts.""

""Clearly.""

""And the person who follows the same path with simple gymnastic will rarely need medicine, except in emergencies.""

""I quite believe it.""

""His exercises and exertions are designed to stimulate the spirited element of his nature, not merely to build muscle. He won't train like an ordinary athlete, using diet and exercise just to develop his body.""

""Very right,"" he said.

""In fact, music and gymnastic are not really designed -- as people commonly think -- one for the soul and the other for the body.""

""Then what are they really for?""

""I believe both arts aim primarily at improving the soul.""

""How can that be?"" he asked.

""Haven't you noticed the effect on the mind of exclusive devotion to gymnastic? Or the opposite effect of exclusive devotion to music?""

""In what way?""

""One produces hardness and ferocity; the other, softness and weakness.""

""Yes, I'm well aware that the pure athlete becomes too savage, and the pure musician becomes soft beyond what's healthy.""","Vice cannot know virtue, but virtue, educated by time, knows both -- so wisdom belongs to the virtuous. In our state, medicine and law serve better natures; the hopelessly diseased and incurably corrupt are let go. Both music and gymnastic aim at the soul, not (as commonly supposed) one at the soul and the other at the body. Exclusive gymnastic produces savagery; exclusive music produces weakness. The balance of both is needed.","Socrates establishes that wisdom belongs to the virtuous (who can understand both virtue and vice), outlines the state's harsh policy toward the incurably sick and corrupt, and reveals a surprising thesis: both music and gymnastic are designed for the soul, not (as commonly assumed) one for the soul and the other for the body. Exclusive devotion to either produces imbalance -- savagery or weakness.","Wisdom belongs to the virtuous; both music and gymnastic aim at the soul; exclusive devotion to either produces dangerous imbalance.","Speakers: Socrates and Glaucon -- 'Vice cannot know virtue' but virtue can know vice: asymmetric moral epistemology -- The harsh policy toward the incurable (bodily: leave to die; morally: put to death) is one of the Republic's most disturbing passages -- The revelation that both music and gymnastic serve the soul is a major philosophical insight, overturning conventional Greek educational theory -- The savage/soft dichotomy maps onto the spirited/philosophical duality in the soul -- Cross-reference: Book IV (439d-441c) on the three parts of the soul; Book IX (571c-572b) on the spirited element; Timaeus (87c-88b) on soul-body harmony"
"3.67","3.2","67","Yet surely, I said, this ferocity only comes from spirit, which, if rightly educated, would give courage, but, if too much intensified, is liable to become hard and brutal.

That I quite think. On the other hand the philosopher will have the quality of gentleness. And this also, when too much indulged, will turn to softness, but, if educated rightly, will be gentle and moderate.

True. And in our opinion the guardians ought to have both these qualities?

Assuredly. And both should be in harmony? Beyond question. And the harmonious soul is both temperate and courageous?","""Yet surely,"" I said, ""this ferocity only comes from spirit, which, if rightly educated, would give courage, but, if too much intensified, is liable to become hard and brutal.""

""That I quite think.""

""On the other hand the philosopher will have the quality of gentleness. And this also, when too much indulged, will turn to softness, but, if educated rightly, will be gentle and moderate.""

""True.""

""And in our opinion the guardians ought to have both these qualities?""

""Assuredly.""

""And both should be in harmony?""

""Beyond question.""

""And the harmonious soul is both temperate and courageous?""","""Yet this ferocity,"" I said, ""comes from spirit -- which, properly educated, produces courage, but when overstimulated becomes hard and brutal.""

""I agree.""

""The philosophical nature, on the other hand, tends toward gentleness. Properly educated, this becomes genuine moderation; overindulged, it turns to weakness.""

""True.""

""And our guardians need both qualities?""

""Absolutely.""

""And both must be in harmony?""

""Without question.""

""And the harmonious soul is both temperate and courageous?""","Spirit rightly educated becomes courage; overintensified, it becomes brutality. Gentleness rightly educated becomes moderation; overindulged, it becomes weakness. Guardians need both qualities in harmony, producing a soul that is both temperate and courageous.","Socrates shows that the spirited element, properly educated, becomes courage (but overstimulated becomes brutality), while the philosophical/gentle element, properly educated, becomes moderation (but overindulged becomes weakness). Guardians need both in harmony, producing a soul that is both temperate and courageous.","Spirit rightly educated becomes courage; gentleness rightly educated becomes moderation; guardians need both in harmony.","Speakers: Socrates and Glaucon -- The spirited (thumoeides) and philosophical (philosophon) elements correspond to two parts of the soul developed more fully in Book IV -- 'Hard and brutal' vs. 'soft' = the extremes that balanced education prevents -- The harmonious soul combining temperance and courage is the educational ideal -- The two virtues (courage and temperance) are the ones earlier associated with the Dorian and Phrygian harmonies (3.36) -- Cross-reference: Book IV (441e-442d) on the harmonious soul; Book II (375a-376c) on the guardian's need for both spiritedness and gentleness"
"3.68","3.2","68","Yes. And the inharmonious is cowardly and boorish? Very true. And, when a man allows music to play upon him and to pour into his soul through the funnel of his ears those sweet and soft and melancholy airs of which we were just now speaking, and his whole life is passed in warbling and the delights of song; in the first stage of the process the passion or spirit which is in him is tempered like iron, and made useful, instead of brittle and useless. But, if he carries on the softening and soothing process, in the next stage he begins to melt and waste, until he has wasted away his spirit and cut out the sinews of his soul; and he becomes a feeble warrior.","""Yes.""

""And the inharmonious is cowardly and boorish?""

""Very true.""

""And, when a man allows music to play upon him and to pour into his soul through the funnel of his ears those sweet and soft and melancholy airs of which we were just now speaking, and his whole life is passed in warbling and the delights of song; in the first stage of the process the passion or spirit which is in him is tempered like iron, and made useful, instead of brittle and useless. But, if he carries on the softening and soothing process, in the next stage he begins to melt and waste, until he has wasted away his spirit and cut out the sinews of his soul; and he becomes a feeble warrior.""","""Yes.""

""And the disharmonious soul is cowardly and crude?""

""Very true.""

""Now, when a person gives himself over to music -- letting those sweet, soft, melancholy airs pour into his soul through the funnel of his ears, spending his whole life immersed in singing and the pleasures of song -- at first the process is beneficial. The passion or spirit within him is tempered like iron, made useful rather than brittle.

But if the softening continues unchecked, in the next stage he begins to melt and waste away. His spirit dissolves. The sinews of his soul are cut. And he becomes a feeble warrior.""","Music first tempers the spirit like iron, making it useful. But unrestrained musical indulgence continues the softening until spirit dissolves entirely, the sinews of the soul are severed, and the person becomes a feeble warrior incapable of action.","Socrates describes how music initially tempers the spirit beneficially, like the tempering of iron. But if musical softening continues unchecked, it melts and wastes the spirit, cutting the sinews of the soul and producing a feeble warrior incapable of courage.","Music first tempers the soul's spirit like iron; continued unchecked, it melts spirit away entirely, producing a feeble warrior.","Speaker: Socrates -- The iron-tempering metaphor is precise: the right amount of heat makes iron useful; too much makes it weak -- 'Through the funnel of his ears' is a vivid physical image of musical absorption -- 'Cut out the sinews of his soul' (neura ektemnei tes psyches) is one of Plato's most powerful metaphors -- The process has two stages: beneficial tempering, then destructive over-softening -- Cross-reference: Book X (606a-b) on how poetry 'waters' the emotions that should be dried; Phaedrus (245a) on divine madness and inspiration"
"3.69","3.2","69","Very true. If the element of spirit is naturally weak in him the change is speedily accomplished, but if he have a good deal, then the power of music weakening the spirit renders him excitable; --on the least provocation he flames up at once, and is speedily extinguished; instead of having spirit he grows irritable and passionate and is quite impracticable.","""Very true.""

""If the element of spirit is naturally weak in him the change is speedily accomplished, but if he have a good deal, then the power of music weakening the spirit renders him excitable; -- on the least provocation he flames up at once, and is speedily extinguished; instead of having spirit he grows irritable and passionate and is quite impracticable.""","""Very true.""

""If his spirit is naturally weak, the transformation happens quickly. But if he has a strong spirit to begin with, the weakening effect of excessive music makes him volatile. At the slightest provocation he flares up, then immediately burns out. Instead of genuine spirit, he develops irritability and irrational passion -- he becomes completely impossible to deal with.""","Those with weak spirits are quickly ruined by musical excess. Those with strong spirits are made volatile -- flaring up at the slightest provocation, then immediately burning out, replacing genuine courage with empty irritability.","Socrates distinguishes two effects of musical excess depending on natural temperament: those with weak spirits are quickly made feeble, while those with naturally strong spirits become volatile and irritable -- flaring up and burning out quickly, replacing genuine courage with empty emotional reactivity.","Musical excess makes the weak-spirited feeble and the strong-spirited volatile, replacing genuine courage with empty irritability in both cases.","Speaker: Socrates -- The distinction between weak and strong spirits facing the same corrupting influence shows Plato's psychological sophistication -- 'Flames up and is speedily extinguished' = the signature of a corrupted spirit: intense but unsustainable emotional reactions -- 'Irritable and passionate' (akracholos kai thumoeides) replaces genuine courage (andreia) -- The difference between genuine spirit and mere irritability is crucial -- Cross-reference: Book IV (440c-441a) on the spirited element of the soul; Aristotle Nicomachean Ethics IV.5 on appropriate vs. inappropriate anger"
"3.70","3.2","70","Exactly. And so in gymnastics, if a man takes violent exercise and is a great feeder, and the reverse of a great student of music and philosophy, at first the high condition of his body fills him with pride and spirit, and lie becomes twice the man that he was.

Certainly. And what happens? if he do nothing else, and holds no con-a verse with the Muses, does not even that intelligence which there may be in him, having no taste of any sort of learning or enquiry or thought or culture, grow feeble and dull and blind, his mind never waking up or receiving nourishment, and his senses not being purged of their mists?

True, he said. And he ends by becoming a hater of philosophy, uncivilized, never using the weapon of persuasion, --he is like a wild beast, all violence and fierceness, and knows no other way of dealing; and he lives in all ignorance and evil conditions, and has no sense of propriety and grace.

That is quite true, he said. And as there are two principles of human nature, one the spirited and the other the philosophical, some God, as I should say, has given mankind two arts answering to them (and only indirectly to the soul and body), in order that these two principles (like the strings of an instrument) may be relaxed or drawn tighter until they are duly harmonised.

That appears to be the intention. And he who mingles music with gymnastic in the fairest proportions, and best attempers them to the soul, may be rightly called the true musician and harmonist in a far higher sense than the tuner of the strings.

You are quite right, Socrates. And such a presiding genius will be always required in our State if the government is to last.

Yes, he will be absolutely necessary. Such, then, are our principles of nurture and education: Where would be the use of going into further details about the dances of our citizens, or about their hunting and coursing, their gymnastic and equestrian contests? For these all follow the general principle, and having found that, we shall have no difficulty in discovering them.","""Exactly.""

""And so in gymnastics, if a man takes violent exercise and is a great feeder, and the reverse of a great student of music and philosophy, at first the high condition of his body fills him with pride and spirit, and he becomes twice the man that he was.""

""Certainly.""

""And what happens? if he do nothing else, and holds no converse with the Muses, does not even that intelligence which there may be in him, having no taste of any sort of learning or enquiry or thought or culture, grow feeble and dull and blind, his mind never waking up or receiving nourishment, and his senses not being purged of their mists?""

""True,"" he said.

""And he ends by becoming a hater of philosophy, uncivilized, never using the weapon of persuasion, -- he is like a wild beast, all violence and fierceness, and knows no other way of dealing; and he lives in all ignorance and evil conditions, and has no sense of propriety and grace.""

""That is quite true,"" he said.

""And as there are two principles of human nature, one the spirited and the other the philosophical, some God, as I should say, has given mankind two arts answering to them (and only indirectly to the soul and body), in order that these two principles (like the strings of an instrument) may be relaxed or drawn tighter until they are duly harmonised.""

""That appears to be the intention.""

""And he who mingles music with gymnastic in the fairest proportions, and best attempers them to the soul, may be rightly called the true musician and harmonist in a far higher sense than the tuner of the strings.""

""You are quite right, Socrates.""

""And such a presiding genius will be always required in our State if the government is to last.""

""Yes, he will be absolutely necessary.""

""Such, then, are our principles of nurture and education: Where would be the use of going into further details about the dances of our citizens, or about their hunting and coursing, their gymnastic and equestrian contests? For these all follow the general principle, and having found that, we shall have no difficulty in discovering them.""","""Exactly.""

""Now consider the opposite: gymnastics without music. If a man exercises violently, eats heavily, and never studies music or philosophy, at first his superb physical condition fills him with pride and energy. He feels twice the man he was.""

""Certainly.""

""But if he does nothing else -- never engages with the Muses, never tastes learning, inquiry, thought, or culture -- whatever intelligence he has grows feeble, dull, and blind. His mind never wakes up, never receives nourishment, his perceptions are never cleared of their fog.""

""True,"" he said.

""He ends up hating philosophy. He becomes uncivilized, never using the weapon of persuasion. He's like a wild beast -- all violence and ferocity, knowing no other way. He lives in ignorance and degradation, with no sense of propriety or grace.""

""Quite true,"" he said.

""So there are two principles in human nature: the spirited and the philosophical. Some god, I would say, has given mankind two corresponding arts -- music and gymnastic -- aimed not directly at soul and body, but at these two principles. Like the strings of an instrument, the two principles must be loosened or tightened until they are properly harmonized.""

""That seems to be the purpose.""

""And the person who blends music and gymnastic in the best proportions, tuning them to the soul, may rightly be called the true musician and harmonist -- in a far higher sense than someone who merely tunes strings.""

""You're quite right, Socrates.""

""Such a person will always be needed in our state if the government is to endure.""

""Absolutely necessary.""

""These, then, are our principles of education. Why go into details about dances, hunting, riding, or athletic competitions? They all follow from the general principles we've established, and won't be hard to work out.""","Gymnastics without music produces a savage who hates philosophy and knows only violence. Music and gymnastic correspond to the two principles of human nature -- the philosophical and the spirited -- and must be harmonized like strings on an instrument. The person who achieves this blend is the true musician in the highest sense. Such a person will always be needed if the state is to endure.","Socrates shows that exclusive gymnastics produces an uncivilized brute who hates philosophy and uses only force. He reveals that music and gymnastic correspond to the two principles of human nature (philosophical and spirited) and must be harmonized. The person who achieves this balance is the true musician in the deepest sense, and such a person is essential for the state's survival.","Music and gymnastic serve the two principles of human nature -- philosophical and spirited; their proper harmony produces the true musician, essential for the state's survival.","Speakers: Socrates and Glaucon -- The symmetry is complete: excess music = soft/weak; excess gymnastics = hard/brutal; proper blend = harmonious soul -- 'Like the strings of an instrument' uses musical language to describe the educational goal -- 'The true musician and harmonist' = not a player of instruments but a tuner of souls -- 'A presiding genius' needed for the state = the philosopher-ruler anticipated -- The details (dances, hunting, equestrian) are deferred as derivative -- Cross-reference: Book IV (441e-442d) on psychic harmony; Book VII (521c-540b) on the philosopher-ruler's education; Statesman (305e-306a) on the weaving of spirited and gentle natures"
